Category,Question,Answer
General Definitions & Basics,Q: What is a personal loan?,"A: A personal loan is an **unsecured** loan offered by banks, credit unions, or online lenders that can be used for almost any purpose, such as consolidating debt, paying for a wedding, or covering emergency expenses. It typically has a fixed repayment period and a fixed interest rate."
General Definitions & Basics,Q: What does ""unsecured loan"" mean?,"A: An unsecured loan is one that **does not require collateral** (like a house or car). The lender relies on your creditworthiness (credit score, income) to approve the loan. This often results in higher interest rates compared to secured loans."
General Definitions & Basics,Q: What is the main difference between a secured and an unsecured loan?,"A: A **secured loan** requires the borrower to put up an asset as **collateral**, while an **unsecured loan** does not. Secured loans typically offer lower interest rates because the risk to the lender is lower."
General Definitions & Basics,Q: What can a personal loan be used for?,"A: Personal loans are versatile and can be used for a wide range of things, including **debt consolidation**, medical bills, home improvements, major purchases, or funding an event like a wedding."
General Definitions & Basics,Q: What is an APR?,"A: **APR** stands for **Annual Percentage Rate**. It is the total cost of the loan over a year, expressed as a percentage. It includes the interest rate plus any additional fees, giving you a more complete picture of the loan's cost."
General Definitions & Basics,Q: What is the loan principal?,"A: The loan **principal** is the original amount of money you borrow before any interest or fees are added. Payments are applied to both the principal and the interest over the life of the loan."
General Definitions & Basics,Q: What is the loan term?,"A: The loan **term** is the **length of time** you have to repay the loan in full, according to the agreement. It's usually expressed in months (e.g., 36 months, 60 months)."
General Definitions & Basics,Q: Are personal loans always a lump sum?,"A: Yes, a traditional personal loan is typically disbursed as a **single, lump-sum payment** directly into your bank account once approved."
General Definitions & Basics,Q: What is a fixed interest rate?,"A: A **fixed interest rate** remains the same throughout the entire loan term, meaning your monthly payments will be consistent and predictable."
General Definitions & Basics,Q: Can I use a personal loan for business expenses?,"A: Generally, **no**. Most personal loan agreements prohibit using the funds for business purposes, as lenders have specific products (business loans) for that."
Application & Eligibility,Q: What are the basic eligibility requirements for a personal loan?,"A: Requirements typically include being at least **18 years old**, a **U.S. citizen or permanent resident**, having a **valid bank account**, and meeting the lender's minimum **credit score** and **income** criteria."
Application & Eligibility,Q: What documents are typically needed for a loan application?,"A: You will usually need **government-issued ID** (e.g., driver's license), **proof of income** (e.g., pay stubs, tax returns), and **proof of residence** (e.g., utility bill)."
Application & Eligibility,Q: How long does the personal loan application process usually take?,"A: The timeline varies. Online applications can take as little as **15 minutes** to submit, and approval/funding can happen anywhere from **24 hours to 7 business days**, depending on the lender."
Application & Eligibility,Q: What is DTI and why is it important?,"A: **DTI** stands for **Debt-to-Income ratio**. It is the percentage of your gross monthly income that goes toward paying your monthly debt obligations. Lenders use it to assess your ability to manage new debt; a lower DTI (usually under 43%) is preferred."
Application & Eligibility,Q: What is a ""soft inquiry"" versus a ""hard inquiry""?,"A: A **soft inquiry** occurs when you pre-qualify and **doesn't hurt your credit score**. A **hard inquiry** occurs when you formally submit an application and **may temporarily lower your credit score** by a few points."
